EODDATAID,ADATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES
416871593,17-Feb-14,BANKNIFTY,10217.15,10358,10205.8,10326.55,,,19999024,1071.71,17-Feb-2014,
416881592,18-Feb-14,NIFTY,6057.1,6080.65,6038.3,6073.3,,,108492457,4455.65,18-Feb-2014,
416881593,18-Feb-14,BANKNIFTY,10217.15,10358,10205.8,10326.55,,,19999024,1071.71,18-Feb-2014,
416891592,19-Feb-14,NIFTY,6057.1,6080.65,6038.3,6073.3,,,108492457,4455.65,19-Feb-2014,
416891593,19-Feb-14,BANKNIFTY,10217.15,10358,10205.8,10326.55,,,19999024,1071.71,19-Feb-2014,
416901592,20-Feb-14,NIFTY,6127.15,6129.1,6086.45,6091.45,,,132108928,4344.77,20-Feb-2014,
416901593,20-Feb-14,BANKNIFTY,10515.3,10525.7,10419.1,10428.3,,,24221257,1196.18,20-Feb-2014,
416911592,21-Feb-14,NIFTY,6108.3,6159.65,6108,6155.45,,,112596128,4001.93,21-Feb-2014,
416911593,21-Feb-14,BANKNIFTY,10429.3,10584.75,10429.3,10554.35,,,16427772,904.42,21-Feb-2014,
416941592,24-Feb-14,NIFTY,6108.3,6159.65,6108,6155.45,,,112596128,4001.93,24-Feb-2014,
416941593,24-Feb-14,BANKNIFTY,10429.3,10584.75,10429.3,10554.35,,,16427772,904.42,24-Feb-2014,
416951592,25-Feb-14,NIFTY,6108.3,6159.65,6108,6155.45,,,112596128,4001.93,25-Feb-2014,
416951593,25-Feb-14,BANKNIFTY,10742.15,10768.95,10611.75,10666.75,,,19064654,1136.04,25-Feb-2014,
416961592,26-Feb-14,NIFTY,6202.45,6245.95,6202.1,6238.8,,,181663811,6641.33,26-Feb-2014,
416961593,26-Feb-14,BANKNIFTY,10659.2,10758.65,10659.2,10730.4,,,20144486,1373.59,26-Feb-2014,
416981592,28-Feb-14,NIFTY,6228.45,6282.7,6228.1,6276.95,,,209914263,7869.42,28-Feb-2014,
416981593,28-Feb-14,BANKNIFTY,10793.6,10793.6,10688.95,10764.7,,,23184235,1313.69,28-Feb-2014,
417011592,03-Mar-14,NIFTY,6228.45,6282.7,6228.1,6276.95,,,209914263,7869.42,03-Mar-2014,
417011593,03-Mar-14,BANKNIFTY,10793.6,10793.6,10688.95,10764.7,,,23184235,1313.69,03-Mar-2014,
417021592,04-Mar-14,NIFTY,6228.45,6282.7,6228.1,6276.95,,,209914263,7869.42,04-Mar-2014,
417021593,04-Mar-14,BANKNIFTY,10793.6,10793.6,10688.95,10764.7,,,23184235,1313.69,04-Mar-2014,
417031592,05-Mar-14,NIFTY,6328.45,6336.25,6287.8,6328.65,,,160300066,5754.58,05-Mar-2014,
417031593,05-Mar-14,BANKNIFTY,10987.6,11122.55,10899.4,11098.8,,,46407057,2401.59,05-Mar-2014,
417041592,06-Mar-14,NIFTY,6328.45,6336.25,6287.8,6328.65,,,160300066,5754.58,06-Mar-2014,
417041593,06-Mar-14,BANKNIFTY,10987.6,11122.55,10899.4,11098.8,,,46407057,2401.59,06-Mar-2014,
417051592,07-Mar-14,NIFTY,6328.45,6336.25,6287.8,6328.65,,,160300066,5754.58,07-Mar-2014,
417051593,07-Mar-14,BANKNIFTY,11357.9,11947.5,11332.6,11884.75,,,70896451,4513.2,07-Mar-2014,
417081592,10-Mar-14,NIFTY,6491.7,6562.2,6487.35,6537.25,,,242143703,9992.74,10-Mar-2014,
417081593,10-Mar-14,BANKNIFTY,11357.9,11947.5,11332.6,11884.75,,,70896451,4513.2,10-Mar-2014,
417091592,11-Mar-14,NIFTY,6491.7,6562.2,6487.35,6537.25,,,242143703,9992.74,11-Mar-2014,
417091593,11-Mar-14,BANKNIFTY,11357.9,11947.5,11332.6,11884.75,,,70896451,4513.2,11-Mar-2014,
417101592,12-Mar-14,NIFTY,6491.7,6562.2,6487.35,6537.25,,,242143703,9992.74,12-Mar-2014,
417101593,12-Mar-14,BANKNIFTY,11357.9,11947.5,11332.6,11884.75,,,70896451,4513.2,12-Mar-2014,
417111592,13-Mar-14,NIFTY,6491.7,6562.2,6487.35,6537.25,,,242143703,9992.74,13-Mar-2014,
417111593,13-Mar-14,BANKNIFTY,11357.9,11947.5,11332.6,11884.75,,,70896451,4513.2,13-Mar-2014,
417121592,14-Mar-14,NIFTY,6491.7,6562.2,6487.35,6537.25,,,242143703,9992.74,14-Mar-2014,
417121593,14-Mar-14,BANKNIFTY,11357.9,11947.5,11332.6,11884.75,,,70896451,4513.2,14-Mar-2014,
417161592,18-Mar-14,NIFTY,6532.45,6574.95,6497.65,6516.65,,,179308616,7268.52,18-Mar-2014,
417161593,18-Mar-14,BANKNIFTY,12093.2,12268.75,12052.35,12114.85,,,38152081,2260.01,18-Mar-2014,
417181592,20-Mar-14,NIFTY,6508.35,6523.65,6473.25,6483.1,,,141984189,6280.76,20-Mar-2014,
417181593,20-Mar-14,BANKNIFTY,12160.65,12160.65,11989.95,12017.25,,,22772243,1584.34,20-Mar-2014,
417191592,21-Mar-14,NIFTY,6508.35,6523.65,6473.25,6483.1,,,141984189,6280.76,21-Mar-2014,
417191593,21-Mar-14,BANKNIFTY,12160.65,12160.65,11989.95,12017.25,,,22772243,1584.34,21-Mar-2014,
417201592,22-Mar-14,NIFTY,6497.8,6502.65,6481.35,6494.9,,,9774392,373.66,22-Mar-2014,
417201593,22-Mar-14,BANKNIFTY,12111.85,12111.85,12061.65,12075.8,,,1617161,114.54,22-Mar-2014,
417221592,24-Mar-14,NIFTY,6497.8,6502.65,6481.35,6494.9,,,9774392,373.66,24-Mar-2014,
417221593,24-Mar-14,BANKNIFTY,12111.85,12111.85,12061.65,12075.8,,,1617161,114.54,24-Mar-2014,
417231592,25-Mar-14,NIFTY,6550.1,6595.55,6544.85,6589.75,,,168125064,6475.61,25-Mar-2014,
417231593,25-Mar-14,BANKNIFTY,12403.65,12523.7,12394.3,12450,,,24970542,1709.99,25-Mar-2014,
417241592,26-Mar-14,NIFTY,6550.1,6595.55,6544.85,6589.75,,,168125064,6475.61,26-Mar-2014,
417241593,26-Mar-14,BANKNIFTY,12403.65,12523.7,12394.3,12450,,,24970542,1709.99,26-Mar-2014,
417251592,27-Mar-14,NIFTY,6550.1,6595.55,6544.85,6589.75,,,168125064,6475.61,27-Mar-2014,
417251593,27-Mar-14,BANKNIFTY,12403.65,12523.7,12394.3,12450,,,24970542,1709.99,27-Mar-2014,
417261592,28-Mar-14,NIFTY,6673.05,6702.6,6643.8,6695.9,,,134114378,6862.55,28-Mar-2014,
417261593,28-Mar-14,BANKNIFTY,12693.25,12787.5,12633.3,12754.7,,,40065910,2514.98,28-Mar-2014,
417291592,31-Mar-14,NIFTY,6673.05,6702.6,6643.8,6695.9,,,134114378,6862.55,31-Mar-2014,
417291593,31-Mar-14,BANKNIFTY,12855.5,12869.35,12660.05,12742.05,,,38117571,2365.44,31-Mar-2014,
417301592,01-Apr-14,NIFTY,6673.05,6702.6,6643.8,6695.9,,,134114378,6862.55,01-Apr-2014,
417301593,01-Apr-14,BANKNIFTY,12855.5,12869.35,12660.05,12742.05,,,38117571,2365.44,01-Apr-2014,
417311592,02-Apr-14,NIFTY,6673.05,6702.6,6643.8,6695.9,,,134114378,6862.55,02-Apr-2014,
417311593,02-Apr-14,BANKNIFTY,12855.5,12869.35,12660.05,12742.05,,,38117571,2365.44,02-Apr-2014,
417321592,03-Apr-14,NIFTY,6673.05,6702.6,6643.8,6695.9,,,134114378,6862.55,03-Apr-2014,
417321593,03-Apr-14,BANKNIFTY,12749.85,12754.75,12518,12563.85,,,35361526,2290.98,03-Apr-2014,
417331592,04-Apr-14,NIFTY,6673.05,6702.6,6643.8,6695.9,,,134114378,6862.55,04-Apr-2014,
417331593,04-Apr-14,BANKNIFTY,12749.85,12754.75,12518,12563.85,,,35361526,2290.98,04-Apr-2014,
417361592,07-Apr-14,NIFTY,6694.25,6725.15,6650.4,6695.05,,,133947319,6707.01,07-Apr-2014,
417361593,07-Apr-14,BANKNIFTY,12562.35,12615.35,12439.55,12506.45,,,27570018,1989.49,07-Apr-2014,
417381592,09-Apr-14,NIFTY,6722,6808.7,6705.1,6796.2,,,169794626,8892.66,09-Apr-2014,
417381593,09-Apr-14,BANKNIFTY,12562.35,12615.35,12439.55,12506.45,,,27570018,1989.49,09-Apr-2014,
417391592,10-Apr-14,NIFTY,6803.05,6819.05,6777.3,6796.4,,,191125947,9079.6,10-Apr-2014,
417391593,10-Apr-14,BANKNIFTY,12937.4,13055.6,12881.2,12949.4,,,38376381,2705.63,10-Apr-2014,
417401592,11-Apr-14,NIFTY,6803.05,6819.05,6777.3,6796.4,,,191125947,9079.6,11-Apr-2014,
417401593,11-Apr-14,BANKNIFTY,12937.4,13055.6,12881.2,12949.4,,,38376381,2705.63,11-Apr-2014,
417441592,15-Apr-14,NIFTY,6803.05,6819.05,6777.3,6796.4,,,191125947,9079.6,15-Apr-2014,
417441593,15-Apr-14,BANKNIFTY,12937.4,13055.6,12881.2,12949.4,,,38376381,2705.63,15-Apr-2014,
417451592,16-Apr-14,NIFTY,6803.05,6819.05,6777.3,6796.4,,,191125947,9079.6,16-Apr-2014,
417451593,16-Apr-14,BANKNIFTY,12937.4,13055.6,12881.2,12949.4,,,38376381,2705.63,16-Apr-2014,
417461592,17-Apr-14,NIFTY,6695.45,6783.05,6684.4,6779.4,,,131488368,6952.58,17-Apr-2014,
417461593,17-Apr-14,BANKNIFTY,12937.4,13055.6,12881.2,12949.4,,,38376381,2705.63,17-Apr-2014,
417501592,21-Apr-14,NIFTY,6695.45,6783.05,6684.4,6779.4,,,131488368,6952.58,21-Apr-2014,
417501593,21-Apr-14,BANKNIFTY,12937.4,13055.6,12881.2,12949.4,,,38376381,2705.63,21-Apr-2014,
417511592,22-Apr-14,NIFTY,6822.9,6838,6806.25,6815.35,,,114693049,5636.78,22-Apr-2014,
417511593,22-Apr-14,BANKNIFTY,12989.55,13040.15,12913.9,12987.1,,,24792710,1634,22-Apr-2014,
417521592,23-Apr-14,NIFTY,6822.9,6838,6806.25,6815.35,,,114693049,5636.78,23-Apr-2014,
417521593,23-Apr-14,BANKNIFTY,12989.55,13040.15,12913.9,12987.1,,,24792710,1634,23-Apr-2014,
417541592,25-Apr-14,NIFTY,6822.9,6838,6806.25,6815.35,,,114693049,5636.78,25-Apr-2014,
417541593,25-Apr-14,BANKNIFTY,12989.55,13040.15,12913.9,12987.1,,,24792710,1634,25-Apr-2014,
417571592,28-Apr-14,NIFTY,6778.55,6786.25,6750.3,6761.25,,,118162668,6297.18,28-Apr-2014,
417571593,28-Apr-14,BANKNIFTY,13038.95,13116,12927.75,13081.55,,,29680628,1975.27,28-Apr-2014,
417581592,29-Apr-14,NIFTY,6769,6779.7,6708.65,6715.25,,,115511531,5459.34,29-Apr-2014,
417581593,29-Apr-14,BANKNIFTY,13107.55,13124.3,12897.35,12910.55,,,28067630,1717.78,29-Apr-2014,
417591592,30-Apr-14,NIFTY,6724.95,6780.15,6656.8,6696.4,,,161106871,7066.78,30-Apr-2014,
417591593,30-Apr-14,BANKNIFTY,12946.1,13100.75,12738.6,12855.85,,,41073880,2411.32,30-Apr-2014,
417611592,02-May-14,NIFTY,6709.95,6737.65,6689.5,6694.8,,,114275323,5030.42,02-May-2014,
417611593,02-May-14,BANKNIFTY,12920.35,12995.6,12818.85,12842,,,19439904,1347.7,02-May-2014,
417641592,05-May-14,NIFTY,6709.95,6737.65,6689.5,6694.8,,,114275323,5030.42,05-May-2014,
417641593,05-May-14,BANKNIFTY,12920.35,12995.6,12818.85,12842,,,19439904,1347.7,05-May-2014,
417651592,06-May-14,NIFTY,6719.25,6743.45,6701.9,6715.3,,,88291413,4168.72,06-May-2014,
417651593,06-May-14,BANKNIFTY,12961.5,13012.55,12917.15,12966.05,,,24624097,1315.47,06-May-2014,
417661592,07-May-14,NIFTY,6719.25,6743.45,6701.9,6715.3,,,88291413,4168.72,07-May-2014,
417661593,07-May-14,BANKNIFTY,12961.5,13012.55,12917.15,12966.05,,,24624097,1315.47,07-May-2014,
417671592,08-May-14,NIFTY,6719.25,6743.45,6701.9,6715.3,,,88291413,4168.72,08-May-2014,
417671593,08-May-14,BANKNIFTY,12982.75,13095.5,12952.5,13037.4,,,23548844,1717.1,08-May-2014,
417681592,09-May-14,NIFTY,6654.15,6871.35,6652.15,6858.8,,,166442779,8027.14,09-May-2014,
417681593,09-May-14,BANKNIFTY,13023.4,13814.25,13017.9,13750.5,,,50618692,3634.09,09-May-2014,
417711592,12-May-14,NIFTY,6654.15,6871.35,6652.15,6858.8,,,166442779,8027.14,12-May-2014,
417711593,12-May-14,BANKNIFTY,13023.4,13814.25,13017.9,13750.5,,,50618692,3634.09,12-May-2014,
417721592,13-May-14,NIFTY,6654.15,6871.35,6652.15,6858.8,,,166442779,8027.14,13-May-2014,
417721593,13-May-14,BANKNIFTY,13023.4,13814.25,13017.9,13750.5,,,50618692,3634.09,13-May-2014,
417731592,14-May-14,NIFTY,6654.15,6871.35,6652.15,6858.8,,,166442779,8027.14,14-May-2014,
417731593,14-May-14,BANKNIFTY,14124.55,14320.75,14063.6,14207.1,,,55148350,3619.28,14-May-2014,
417741592,15-May-14,NIFTY,7111.3,7152.55,7082.55,7123.15,,,186848485,8947.95,15-May-2014,
417741593,15-May-14,BANKNIFTY,14186.1,14301.3,14159.1,14236.55,,,55346268,3369.08,15-May-2014,
417751592,16-May-14,NIFTY,7111.3,7152.55,7082.55,7123.15,,,186848485,8947.95,16-May-2014,
417751593,16-May-14,BANKNIFTY,14186.1,14301.3,14159.1,14236.55,,,55346268,3369.08,16-May-2014,
417781592,19-May-14,NIFTY,7111.3,7152.55,7082.55,7123.15,,,186848485,8947.95,19-May-2014,
417781593,19-May-14,BANKNIFTY,15032,15305.65,15032,15222.15,,,57768093,4471.61,19-May-2014,
417791592,20-May-14,NIFTY,7309.95,7353.65,7247.7,7275.5,,,255333095,11139.51,20-May-2014,
417791593,20-May-14,BANKNIFTY,15351.65,15362.55,15087.7,15111.2,,,46750328,2988.83,20-May-2014,
417801592,21-May-14,NIFTY,7309.95,7353.65,7247.7,7275.5,,,255333095,11139.51,21-May-2014,
417801593,21-May-14,BANKNIFTY,15351.65,15362.55,15087.7,15111.2,,,46750328,2988.83,21-May-2014,
417811592,22-May-14,NIFTY,7289.95,7319.55,7258.15,7276.4,,,240943899,10104.55,22-May-2014,
417811593,22-May-14,BANKNIFTY,15009.9,15204.45,14938.25,15055.55,,,37475269,2396.99,22-May-2014,
417821592,23-May-14,NIFTY,7306.5,7381,7293.9,7367.1,,,259638086,12002.13,23-May-2014,
417821593,23-May-14,BANKNIFTY,15091.7,15321.25,14972.6,15285.5,,,53883369,4956.42,23-May-2014,
417851592,26-May-14,NIFTY,7306.5,7381,7293.9,7367.1,,,259638086,12002.13,26-May-2014,
417851593,26-May-14,BANKNIFTY,15091.7,15321.25,14972.6,15285.5,,,53883369,4956.42,26-May-2014,
417861592,27-May-14,NIFTY,7363.1,7372.95,7274.75,7318,,,168599276,7931.22,27-May-2014,
417861593,27-May-14,BANKNIFTY,15141.5,15158.4,14934.95,15084,,,30637314,2242.04,27-May-2014,
417871592,28-May-14,NIFTY,7324.95,7344.75,7302.6,7329.65,,,175595609,8929.71,28-May-2014,
417871593,28-May-14,BANKNIFTY,15075.6,15198.35,15032.45,15173.35,,,26975575,2296.6,28-May-2014,
417881592,29-May-14,NIFTY,7316.6,7325.4,7224.4,7235.65,,,241115398,13385.17,29-May-2014,
417881593,29-May-14,BANKNIFTY,15169.25,15254.5,15007.5,15030.3,,,44813466,3879.53,29-May-2014,
417891592,30-May-14,NIFTY,7316.6,7325.4,7224.4,7235.65,,,241115398,13385.17,30-May-2014,
417891593,30-May-14,BANKNIFTY,15169.25,15254.5,15007.5,15030.3,,,44813466,3879.53,30-May-2014,
417921592,02-Jun-14,NIFTY,7264.05,7368.6,7239.5,7362.5,,,169891181,7833.43,02-Jun-2014,
417921593,02-Jun-14,BANKNIFTY,14786.45,15321.8,14770,15287.25,,,33470475,2493.04,02-Jun-2014,
417931592,03-Jun-14,NIFTY,7264.05,7368.6,7239.5,7362.5,,,169891181,7833.43,03-Jun-2014,
417931593,03-Jun-14,BANKNIFTY,14786.45,15321.8,14770,15287.25,,,33470475,2493.04,03-Jun-2014,
417941592,04-Jun-14,NIFTY,7264.05,7368.6,7239.5,7362.5,,,169891181,7833.43,04-Jun-2014,
