date,open,high,low,close,volume,high_perc,ma_7,ma_20,ma_50,ma7_pct,ma20_pct,ma50_pct,ma7_20_pct,ma20_50_pct,ret_1,ret_3,ret_5,range_pct,range_mean_5,range_std_5,tr,atr_5,atr_pct,gap_pct,body_pct,upper_wick,lower_wick,rolling_high_5,rolling_low_5,breakout_up,breakout_down,vol_pct,gap_x_range,trend_x_vol
13-Mar-14,6491.7,6562.2,6487.35,6537.25,242143703,0.38165895445332243,6447.849999999999,6252.6525,6202.38,1.9746115011482073,4.983852344100045,5.479189914658213,2.9509706373511952,0.4718226274785819,0.0,3.296121605713709,3.296121605713709,1.1449768633599673,0.9932125644145003,0.20781182489097427,74.84999999999945,101.30999999999968,1.4689663084630349,-0.6967761673486585,0.7016652032595496,0.3843369225318456,0.06700864180414151,6562.2,6287.8,0.0,0.0,0.0,-0.7977925905548467,2.2608844829391908
14-Mar-14,6491.7,6562.2,6487.35,6537.25,242143703,0.38165895445332243,6477.65,6278.3949999999995,6207.092000000001,1.3865086811883116,4.5516282889541655,5.399056491217886,3.1218350931864403,0.8105356330956832,0.0,0.0,3.296121605713709,1.1449768633599673,1.0690947138872338,0.16967764449983178,74.84999999999945,106.5899999999996,1.549734215457565,-0.6967761673486585,0.7016652032595496,0.3843369225318456,0.06700864180414151,6562.2,6487.35,0.0,0.0,0.0,-0.7977925905548467,1.587520360808358
18-Mar-14,6532.45,6574.95,6497.65,6516.65,179308616,0.5766950935026168,6504.507142857144,6301.8099999999995,6213.201999999999,0.9200867598589051,4.122948619830394,5.319044731413671,3.1736614214301606,1.1487343831861838,0.0,0.0,3.296121605713709,1.1449768633599673,1.1449768633599673,0.0,77.30000000000018,75.3399999999996,1.6305021224520952,-0.6967761673486585,0.7016652032595496,0.3843369225318456,0.06700864180414151,6574.95,6487.35,0.0,0.0,0.0,-0.7977925905548467,1.0534780523222846
20-Mar-14,6508.35,6523.65,6473.25,6483.1,141984189,0.10741715451957677,6526.571428571428,6322.3,6219.035,0.18668373907761057,3.4091792675437715,4.8839229756251346,3.2164908630559186,1.426124565079329,-0.3151172128953328,-0.3151172128953328,-0.3151172128953328,1.1861922920519008,1.1532199490983541,0.018432100055391736,50.399999999999636,70.44999999999963,1.1561154887864105,-0.07342536999503127,-0.2418694364289077,0.6505981676093963,0.2908556514018477,6574.95,6473.25,0.0,0.0,-25.94950280412619,-0.087096607929165,0.2214428123452899
21-Mar-14,6508.35,6523.65,6473.25,6483.1,141984189,0.6254723820394451,6518.835714285714,6342.79,6225.451999999999,-0.6660683798099999,2.5433782009711683,4.246076762713194,3.230967030533639,1.6604666158013315,-0.5148350763045317,-0.8283299552564127,-0.8283299552564127,0.7774058706482954,1.0797057505560197,0.1699305412602274,50.399999999999636,65.55999999999968,1.0866714997454865,-0.12736605464462988,-0.3879631550239308,0.23508262462835083,0.15134404265290533,6574.95,6473.25,0.0,1.0,-20.815746522743783,-0.09901511860204686,-0.5178054687174924
22-Mar-14,6497.8,6502.65,6481.35,6494.9,9774392,0.3015532692693198,6512.785714285715,6363.87,6232.105,-0.5481916687576662,2.2121180111591334,4.13862318752118,2.775524876051611,1.8848109342100887,0.0,-0.8283299552564127,-0.8283299552564127,0.7774058706482954,1.0061915520136853,0.20952849907645343,21.299999999999272,54.84999999999964,1.011244620629015,0.38947417130693646,-0.3879631550239308,0.23508262462835083,0.15134404265290533,6574.95,6473.25,0.0,0.0,0.0,0.3027795072398923,-0.42616742153269543
24-Mar-14,6497.8,6502.65,6481.35,6494.9,9774392,0.11932439298526537,6506.7357142857145,6384.0425,6238.757999999999,-0.2746246394454979,2.05896726363046,4.216793523215673,2.340018169537008,2.11429364556599,0.18201169193747813,-0.33376044440011077,-0.6478259206853076,0.3279496220111052,0.8427861037439127,0.347438058525487,21.299999999999272,44.1399999999996,0.8445087684182919,0.22674337893908497,-0.044630490319808945,0.07464064760379596,0.20853211856319478,6574.95,6473.25,0.0,0.0,-93.11585883693007,0.07436040541659371,-0.0900630467010871
25-Mar-14,6550.1,6595.55,6544.85,6589.75,168125064,1.5496774392215515,6514.2357142857145,6405.7575,6247.307999999999,-0.1818994163191418,1.7364781014537434,4.105656927228156,1.921873394259436,2.3287407525664676,0.0,0.18201169193747813,-0.6478259206853076,0.3279496220111052,0.6793806554741404,0.3616225460173562,100.65000000000055,48.809999999999675,0.6796101556605891,0.044650418020301244,-0.044630490319808945,0.07464064760379596,0.20853211856319478,6595.55,6473.25,0.0,0.0,0.0,0.014643087712395635,-0.05965384482590322
26-Mar-14,6550.1,6595.55,6544.85,6589.75,168125064,0.08801547858416757,6521.7357142857145,6427.4725,6253.647999999999,1.1592194238332936,2.8722988655127875,5.481432962805755,1.69344865592734,2.536284428429023,1.4603766031809684,1.645046351282553,1.1217419993401645,0.7693766834857136,0.596017533760903,0.2447333563956144,50.69999999999982,48.869999999999706,0.7406957775332854,0.849897611972482,0.6053342697058004,0.08854826643868309,0.08015144806949512,6595.55,6473.25,1.0,0.0,1620.0564904702003,0.6538914060018162,0.8918763957410792
27-Mar-14,6550.1,6595.55,6544.85,6589.75,168125064,0.08801547858416757,6532.178571428572,6449.187499999999,6260.606,1.0428862605594664,2.524748258355056,5.3744950147498045,1.4665673682106715,2.7795696208037395,0.0,1.4603766031809684,1.645046351282553,0.7693766834857136,0.5944116963283866,0.24326756637285624,50.69999999999982,48.929999999999744,0.7416062824841566,-0.6016920217003624,0.6053342697058004,0.08854826643868309,0.08015144806949512,6595.55,6481.35,0.0,0.0,0.0,-0.4629278121356389,0.80237237240206
